"Samples per sec. = 240/1"
""
""
"sec","PSI","PSI"
4.908, 1.4369E+02, 8.9163E+01
4.917, 1.4369E+02, 8.9163E+01
4.925, 1.4369E+02, 8.8455E+01
4.933, 1.3998E+02, 8.7746E+01
4.942, 1.4369E+02, 8.7746E+01
4.950, 1.4440E+02, 8.6861E+01
4.958, 1.4299E+02, 8.7746E+01
4.967, 1.4139E+02, 8.7746E+01
4.975, 1.4440E+02, 8.6861E+01
4.983, 1.4440E+02, 8.7746E+01
4.992, 1.4299E+02, 8.6861E+01
5.000, 1.4369E+02, 8.7746E+01
5.008, 1.4440E+02, 8.7746E+01
5.017, 1.4369E+02, 8.6861E+01
5.025, 1.4369E+02, 8.7746E+01
5.033, 1.4440E+02, 8.7746E+01
5.042, 1.4440E+02, 8.7746E+01
5.050, 1.4369E+02, 8.7746E+01
5.058, 1.4369E+02, 8.7746E+01
5.067, 1.4440E+02, 8.7746E+01
5.075, 1.4440E+02, 8.7746E+01
5.083, 1.4440E+02, 8.7746E+01
5.092, 1.4440E+02, 8.7746E+01
5.100, 1.4440E+02, 8.7746E+01
5.108, 1.4440E+02, 8.7746E+01
5.117, 1.4440E+02, 8.7746E+01
5.125, 1.4440E+02, 8.7746E+01
5.133, 1.4440E+02, 8.7746E+01
5.142, 1.4440E+02, 8.7746E+01
5.150, 1.4440E+02, 8.7746E+01
5.158, 1.4440E+02, 8.7746E+01
5.167, 1.4440E+02, 8.7746E+01
5.175, 1.4440E+02, 8.7746E+01
5.183, 1.4440E+02, 8.7746E+01
5.192, 1.4440E+02, 8.7746E+01
5.200, 1.4440E+02, 8.7746E+01
5.208, 1.4440E+02, 8.7746E+01
5.217, 1.4440E+02, 8.7746E+01
5.225, 1.4440E+02, 8.7746E+01
5.233, 1.4440E+02, 8.7746E+01
5.242, 1.4440E+02, 8.7746E+01
5.250, 1.4440E+02, 8.7746E+01
5.258, 1.4440E+02, 8.7746E+01
5.267, 1.4440E+02, 8.7746E+01
